Date,USD_Price,USD_Open,USD_High,USD_Low,USD_Vol.,USD_Change %
11/03/22,14.27,14.95,13.95,14.44,14.402102,272300
11/02/22,15.94,16.559999,14.72,14.76,14.721262,542300
11/01/22,16.040001,16.17,15.47,15.61,15.569031,131300
10/31/22,15.86,15.89,15.26,15.51,15.469294,205800
10/28/22,14.9,16.09,14.88,16.049999,16.007875,266100
10/27/22,15.5,15.85,14.72,14.77,14.731236,225200
10/26/22,14.81,15.82,14.63,15.03,14.990553,228900
10/25/22,14.76,15.51,14.76,15.35,15.309714,277600
10/24/22,14.46,14.74,13.85,14.59,14.551708,343000
10/21/22,13.34,14.44,13.25,14.38,14.342259,426600
10/20/22,13.39,14.31,13.33,13.44,13.404726,432700
10/19/22,13.01,13.61,12.93,13.3,13.265094,176100
10/18/22,13.89,14.09,12.72,13.18,13.14541,184600
10/17/22,13.1,13.39,12.9,13.09,13.055645,216200
10/14/22,13.9,13.97,12.4,12.45,12.417325,642500
10/13/22,11.93,14.04,11.65,13.64,13.604202,430700
10/12/22,13.04,13.21,12.75,12.9,12.866143,340200
10/11/22,13.3,13.59,12.75,13.08,13.045671,376800
10/10/22,14.55,14.55,13.25,13.62,13.584254,245300
10/07/22,15.59,15.67,14.45,14.58,14.541735,340800
10/06/22,16.799999,17.41,16.530001,16.559999,16.516537,226500
10/05/22,16.139999,17.059999,15.68,16.83,16.78583,259600
10/04/22,16.27,16.73,16.23,16.68,16.636223,171800
10/03/22,14.75,15.69,14.49,15.37,15.329661,149700
09/30/22,14.51,15.26,14.31,14.33,14.292391,176700
09/29/22,15.38,15.38,14.33,14.78,14.741209,188100
09/28/22,15.19,15.99,15.09,15.84,15.798428,158200
09/27/22,15.62,15.92,14.98,15.41,15.369556,177700
09/26/22,15.53,15.99,15.06,15.08,15.040422,379300
09/23/22,15.68,15.8,15.1,15.61,15.569031,565000
09/22/22,16.889999,16.93,15.84,16.030001,15.987929,290300
09/21/22,17.389999,18.629999,17.07,17.07,17.0252,321100
09/20/22,17.5,17.700001,17.1,17.309999,17.264568,102200
09/19/22,17.23,18.030001,17.190001,17.870001,17.823101,137400
09/16/22,17.1,17.68,16.74,17.65,17.603678,113300
09/15/22,17.719999,18.120001,17.1,17.4,17.354334,93800
09/14/22,17.879999,18.209999,17.450001,17.98,17.932812,96700
09/13/22,18.799999,19.02,17.530001,17.65,17.603678,143700
09/12/22,20.25,20.450001,19.82,20.27,20.216801,131900
09/09/22,19.67,20.209999,19.66,20.059999,20.007351,404500
09/08/22,18.280001,19.32,18.01,19.23,19.179531,148800
09/07/22,18.15,18.92,17.92,18.639999,18.591078,137800
09/06/22,18.4,18.610001,17.67,18.040001,17.992655,508000
09/02/22,19.43,19.58,18.17,18.280001,18.232025,336800
09/01/22,18.719999,18.82,17.549999,18.77,18.720737,236200
08/31/22,20.5,20.5,19.5,19.82,19.767982,129700
08/30/22,21.450001,21.450001,19.85,20.389999,20.336485,141500
08/29/22,21.540001,21.93,20.940001,21.049999,20.994753,412600
08/26/22,24.879999,24.99,21.83,21.870001,21.812603,149600
