Date,BRENT_OIL_Price,BRENT_OIL_Open,BRENT_OIL_High,BRENT_OIL_Low,BRENT_OIL_Vol.,BRENT_OIL_Change %
08/11/23,86.81,86.37,87.35,85.84,318.06K,0.47%
08/10/23,86.4,87.39,88.1,86.2,337.57K,-1.31%
08/09/23,87.55,86,87.65,85.91,388.30K,1.60%
08/08/23,86.17,85.79,86.34,83.32,375.87K,0.97%
08/07/23,85.34,86.23,86.73,85.03,259.62K,-1.04%
08/04/23,86.24,85.31,86.65,85.06,268.75K,1.29%
08/03/23,85.14,83.46,85.41,82.36,392.61K,2.33%
08/02/23,83.2,85.86,85.99,82.74,399.19K,-2.01%
08/01/23,84.91,85.24,85.91,84.21,297.77K,-0.76%
07/31/23,85.56,84.95,85.8,84.4,16.53K,0.67%
07/28/23,84.99,83.71,85.09,83.22,102.84K,0.89%
07/27/23,84.24,82.93,84.5,82.93,110.65K,1.59%
07/26/23,82.92,83.19,83.85,82.58,173.82K,-0.86%
07/25/23,83.64,82.85,83.87,82.22,234.66K,1.09%
07/24/23,82.74,80.95,83.16,80.42,295.10K,2.06%
07/21/23,81.07,79.78,81.24,79.65,294.35K,1.80%
07/20/23,79.64,79.33,80.27,78.66,236.41K,0.23%
07/19/23,79.46,79.84,80.93,79.17,311.44K,-0.21%
07/18/23,79.63,78.52,79.99,78.19,366.47K,1.44%
07/17/23,78.5,79.36,80.64,78.25,341.16K,-1.72%
07/14/23,79.87,81.64,81.7,79.53,311.23K,-1.83%
07/13/23,81.36,80.19,81.75,79.88,416.12K,1.56%
07/12/23,80.11,79.32,80.55,79.21,362.33K,0.89%
07/11/23,79.4,77.82,79.5,77.63,333.84K,2.20%
07/10/23,77.69,78.6,78.77,77.36,288.40K,-0.99%
07/07/23,78.47,76.52,78.54,76.03,331.53K,2.55%
07/06/23,76.52,76.7,77.09,75.03,0.43K,-0.17%
07/05/23,76.65,76.03,76.95,75.3,293.74K,0.52%
07/04/23,76.25,74.89,76.29,74.74,157.96K,2.14%
07/03/23,74.65,75.11,76.6,74.56,328.00K,-0.33%
06/30/23,74.9,74.22,75.4,74.21,14.70K,0.75%
06/29/23,74.34,73.72,74.98,73.39,72.87K,0.42%
06/28/23,74.03,72.62,74.2,71.57,91.45K,2.45%
06/27/23,72.26,74.28,74.9,72.08,161.15K,-2.59%
06/26/23,74.18,74.5,74.85,73.42,150.17K,0.45%
06/23/23,73.85,74.02,74.44,72.11,169.54K,-0.39%
06/22/23,74.14,77.03,77.2,73.59,329.53K,-3.86%
06/21/23,77.12,75.54,77.24,75.52,236.55K,1.61%
06/20/23,75.9,76.12,77.15,74.51,276.38K,-0.25%
06/19/23,76.09,76.4,76.93,75.34,141.42K,-0.68%
06/16/23,76.61,75.64,76.74,75.08,256.25K,1.24%
06/15/23,75.67,73.41,75.97,72.91,260.41K,3.37%
06/14/23,73.2,74.05,75.49,73.03,318.37K,-1.47%
06/13/23,74.29,72.11,74.66,71.94,321.15K,3.41%
06/12/23,71.84,74.87,74.87,71.58,358.50K,-3.94%
06/09/23,74.79,75.53,76.57,74.71,260.20K,-1.54%
06/08/23,75.96,76.8,77.68,73.58,393.89K,-1.29%
06/07/23,76.95,76.22,77.64,75.51,325.63K,0.87%
06/06/23,76.29,76.55,76.75,74.72,304.58K,-0.55%
06/05/23,76.71,77.68,78.73,76.31,384.00K,0.76%
06/02/23,76.13,74.28,76.5,74.18,273.54K,2.49%
06/01/23,74.28,72.15,75.25,72.03,349.92K,2.23%
05/31/23,72.66,73.6,73.81,71.39,20.11K,-1.20%
05/30/23,73.54,76.98,77.57,73.2,112.18K,-4.58%
05/29/23,77.07,77.39,77.75,76.15,31.55K,0.16%
05/26/23,76.95,76.09,77.35,75.73,150.62K,0.90%
05/25/23,76.26,78.22,78.5,75.1,237.72K,-2.68%
05/24/23,78.36,77.7,78.66,77.03,285.99K,1.98%
