Date,BTC_Price,BTC_Open,BTC_High,BTC_Low,BTC_Vol.,BTC_Change %
09/11/23,"25,183.00","25,860.00","25,904.00","24,927.00",1.24K,-2.62%
09/10/23,"25,860.00","25,910.00","26,009.00","25,638.00",0.50K,-0.19%
09/09/23,"25,910.00","25,918.00","25,948.00","25,823.00",0.27K,-0.03%
09/08/23,"25,918.00","26,264.00","26,435.00","25,692.00",0.86K,-1.32%
09/07/23,"26,264.00","25,783.00","26,444.00","25,645.00",1.21K,1.87%
09/06/23,"25,783.00","25,793.00","26,023.00","25,453.00",1.14K,-0.04%
09/05/23,"25,793.00","25,823.00","25,886.00","25,602.00",1.02K,-0.12%
09/04/23,"25,823.00","25,980.00","26,092.00","25,666.00",0.72K,-0.60%
09/03/23,"25,980.00","25,870.00","26,114.00","25,826.00",0.45K,0.43%
09/02/23,"25,870.00","25,816.00","25,995.00","25,763.00",1.17K,0.21%
09/01/23,"25,816.00","25,967.00","26,164.00","25,354.00",2.05K,-0.58%
08/31/23,"25,967.00","27,325.00","27,550.00","25,750.00",3.63K,-4.97%
08/30/23,"27,325.00","27,752.00","27,789.00","27,085.00",1.29K,-1.54%
08/29/23,"27,752.00","26,147.00","28,097.00","25,954.00",2.68K,6.14%
08/28/23,"26,147.00","26,121.00","26,264.00","25,900.00",0.69K,0.10%
08/27/23,"26,121.00","26,045.00","26,198.00","25,997.00",0.13K,0.29%
08/26/23,"26,045.00","26,079.00","26,142.00","26,019.00",0.21K,-0.13%
08/25/23,"26,079.00","26,199.00","26,314.00","25,825.00",1.27K,-0.46%
08/24/23,"26,199.00","26,461.00","26,598.00","25,962.00",0.83K,-0.99%
08/23/23,"26,461.00","26,057.00","26,834.00","25,840.00",1.19K,1.55%
08/22/23,"26,057.00","26,144.00","26,156.00","25,490.00",1.07K,-0.33%
08/21/23,"26,144.00","26,215.00","26,255.00","25,850.00",0.90K,-0.27%
08/20/23,"26,215.00","26,115.00","26,305.00","26,018.00",0.60K,0.38%
08/19/23,"26,115.00","26,066.00","26,279.00","25,812.00",0.33K,0.19%
08/18/23,"26,066.00","26,661.00","26,823.00","25,699.00",2.04K,-2.23%
08/17/23,"26,661.00","28,730.00","28,778.00","24,863.00",4.96K,-7.20%
08/16/23,"28,730.00","29,200.00","29,255.00","28,728.00",1.07K,-1.61%
08/15/23,"29,200.00","29,445.00","29,499.00","29,109.00",0.49K,-0.83%
08/14/23,"29,445.00","29,314.00","29,689.00","29,103.00",0.79K,0.45%
08/13/23,"29,314.00","29,445.00","29,477.00","29,297.00",0.27K,-0.44%
08/12/23,"29,445.00","29,434.00","29,495.00","29,393.00",0.20K,0.04%
08/11/23,"29,434.00","29,458.00","29,549.00","29,258.00",1.10K,-0.08%
08/10/23,"29,458.00","29,597.00","29,745.00","29,384.00",1.44K,-0.47%
08/09/23,"29,597.00","29,796.00","30,163.00","29,393.00",1.22K,-0.67%
08/08/23,"29,796.00","29,223.00","30,235.00","29,165.00",1.36K,1.96%
08/07/23,"29,223.00","29,095.00","29,289.00","28,722.00",1.03K,0.44%
08/06/23,"29,095.00","29,075.00","29,198.00","29,007.00",0.39K,0.07%
08/05/23,"29,075.00","29,119.00","29,153.00","28,993.00",0.41K,-0.15%
08/04/23,"29,119.00","29,206.00","29,335.00","28,863.00",0.59K,-0.30%
08/03/23,"29,206.00","29,197.00","29,438.00","28,995.00",0.62K,0.03%
08/02/23,"29,197.00","29,746.00","30,056.00","28,975.00",1.18K,-1.85%
08/01/23,"29,746.00","29,273.00","29,746.00","28,663.00",1.64K,1.62%
07/31/23,"29,273.00","29,315.00","29,560.00","29,164.00",0.45K,-0.14%
07/30/23,"29,315.00","29,402.00","29,488.00","29,111.00",0.49K,-0.30%
07/29/23,"29,402.00","29,365.00","29,443.00","29,305.00",0.15K,0.13%
07/28/23,"29,365.00","29,256.00","29,578.00","29,169.00",0.32K,0.37%
07/27/23,"29,256.00","29,390.00","29,601.00","29,123.00",0.61K,-0.46%
07/26/23,"29,390.00","29,272.00","29,720.00","29,150.00",0.75K,0.40%
07/25/23,"29,272.00","29,224.00","29,404.00","29,101.00",0.37K,0.16%
07/24/23,"29,224.00","30,122.00","30,125.00","28,931.00",1.62K,-2.98%
07/23/23,"30,122.00","29,811.00","30,370.00","29,777.00",0.50K,1.04%
07/22/23,"29,811.00","29,942.00","30,035.00","29,673.00",0.19K,-0.44%
07/21/23,"29,942.00","29,839.00","30,091.00","29,770.00",1.12K,0.35%
07/20/23,"29,839.00","29,939.00","30,438.00","29,625.00",1.31K,-0.33%
07/19/23,"29,939.00","29,888.00","30,220.00","29,829.00",0.50K,0.17%
07/18/23,"29,888.00","30,172.00","30,269.00","29,618.00",1.28K,-0.94%
07/17/23,"30,172.00","30,260.00","30,353.00","29,701.00",1.33K,-0.29%
07/16/23,"30,260.00","30,310.00","30,469.00","30,108.00",0.53K,-0.16%
07/15/23,"30,310.00","30,343.00","30,419.00","30,283.00",0.38K,-0.11%
07/14/23,"30,343.00","31,500.00","31,657.00","29,969.00",2.41K,-3.67%
07/13/23,"31,500.00","30,428.00","31,814.00","30,307.00",2.91K,3.52%
07/12/23,"30,428.00","30,654.00","30,998.00","30,260.00",1.07K,-0.74%
07/11/23,"30,654.00","30,445.00","30,822.00","30,359.00",0.71K,0.69%
07/10/23,"30,445.00","30,188.00","31,044.00","29,988.00",1.28K,0.85%
07/09/23,"30,188.00","30,318.00","30,459.00","30,081.00",0.78K,-0.43%
07/08/23,"30,318.00","30,370.00","30,406.00","30,086.00",0.46K,-0.17%
07/07/23,"30,370.00","29,942.00","30,469.00","29,779.00",1.19K,1.43%
07/06/23,"29,942.00","30,532.00","31,530.00","29,901.00",2.31K,-1.93%
07/05/23,"30,532.00","30,782.00","30,897.00","30,239.00",1.25K,-0.81%
07/04/23,"30,782.00","31,176.00","31,345.00","30,656.00",1.67K,-1.26%
07/03/23,"31,176.00","30,663.00","31,416.00","30,607.00",1.36K,1.67%
07/02/23,"30,663.00","30,607.00","30,817.00","30,200.00",0.70K,0.18%
07/01/23,"30,607.00","30,500.00","30,689.00","30,356.00",0.95K,0.35%
06/30/23,"30,500.00","30,471.00","31,299.00","29,617.00",3.22K,0.10%
06/29/23,"30,471.00","30,094.00","30,844.00","30,062.00",0.98K,1.25%
06/28/23,"30,094.00","30,711.00","30,731.00","29,900.00",1.21K,-2.01%
06/27/23,"30,711.00","30,287.00","31,018.00","30,246.00",1.13K,1.40%
06/26/23,"30,287.00","30,485.00","30,672.00","29,981.00",1.03K,-0.65%
06/25/23,"30,485.00","30,556.00","31,058.00","30,334.00",0.65K,-0.23%
06/24/23,"30,556.00","30,708.00","30,820.00","30,294.00",0.73K,-0.49%
06/23/23,"30,708.00","29,920.00","31,415.00","29,838.00",2.29K,2.63%
06/22/23,"29,920.00","30,013.00","30,506.00","29,678.00",1.68K,-0.31%
06/21/23,"30,013.00","28,325.00","30,769.00","28,286.00",3.14K,5.96%
06/20/23,"28,325.00","26,866.00","28,406.00","26,676.00",2.17K,5.43%
06/19/23,"26,866.00","26,358.00","27,056.00","26,293.00",0.96K,1.93%
06/18/23,"26,358.00","26,535.00","26,712.00","26,293.00",0.53K,-0.67%
06/17/23,"26,535.00","26,357.00","26,789.00","26,202.00",0.81K,0.68%
06/16/23,"26,357.00","25,611.00","26,506.00","25,244.00",1.02K,2.91%
06/15/23,"25,611.00","25,146.00","25,766.00","24,862.00",1.11K,1.85%
06/14/23,"25,146.00","25,941.00","26,113.00","24,853.00",1.26K,-3.06%
06/13/23,"25,941.00","25,933.00","26,428.00","25,748.00",0.79K,0.03%
06/12/23,"25,933.00","25,953.00","26,106.00","25,650.00",0.36K,-0.08%
06/11/23,"25,953.00","25,870.00","26,230.00","25,669.00",0.53K,0.32%
06/10/23,"25,870.00","26,502.00","26,556.00","25,468.00",1.66K,-2.38%
06/09/23,"26,502.00","26,526.00","26,804.00","26,303.00",0.49K,-0.09%
06/08/23,"26,526.00","26,365.00","26,811.00","26,248.00",0.70K,0.61%
06/07/23,"26,365.00","27,233.00","27,368.00","26,157.00",1.79K,-3.19%
06/06/23,"27,233.00","25,730.00","27,342.00","25,392.00",1.69K,5.84%
06/05/23,"25,730.00","27,126.00","27,134.00","25,420.00",3.02K,-5.15%
06/04/23,"27,126.00","27,077.00","27,446.00","26,963.00",0.46K,0.18%
06/03/23,"27,077.00","27,254.00","27,331.00","26,925.00",0.44K,-0.65%
06/02/23,"27,254.00","26,833.00","27,301.00","26,523.00",0.79K,1.57%
06/01/23,"26,833.00","27,220.00","27,348.00","26,666.00",0.83K,-1.42%
05/31/23,"27,220.00","27,723.00","27,855.00","26,859.00",1.34K,-1.81%
05/30/23,"27,723.00","27,772.00","28,065.00","27,600.00",0.49K,-0.18%
05/29/23,"27,772.00","28,096.00","28,463.00","27,579.00",0.82K,-1.15%
05/28/23,"28,096.00","26,885.00","28,263.00","26,804.00",1.60K,4.50%
05/27/23,"26,885.00","26,737.00","26,917.00","26,608.00",0.24K,0.55%
05/26/23,"26,737.00","26,498.00","26,937.00","26,359.00",0.96K,0.90%
05/25/23,"26,498.00","26,344.00","26,620.00","25,889.00",0.64K,0.58%
05/24/23,"26,344.00","27,243.00","27,243.00","26,100.00",0.92K,-3.30%
05/23/23,"27,243.00","26,869.00","27,481.00","26,829.00",0.59K,1.39%
05/22/23,"26,869.00","26,760.00","27,101.00","26,562.00",0.54K,0.41%
05/21/23,"26,760.00","27,126.00","27,285.00","26,701.00",0.52K,-1.35%
05/20/23,"27,126.00","26,911.00","27,168.00","26,863.00",0.18K,0.80%
05/19/23,"26,911.00","26,862.00","27,198.00","26,676.00",0.33K,0.18%
05/18/23,"26,862.00","27,425.00","27,504.00","26,443.00",1.59K,-2.05%
05/17/23,"27,425.00","27,054.00","27,511.00","26,614.00",1.88K,1.37%
05/16/23,"27,054.00","27,190.00","27,313.00","26,899.00",0.80K,-0.50%
05/15/23,"27,190.00","26,937.00","27,671.00","26,764.00",0.98K,0.94%
05/14/23,"26,937.00","26,790.00","27,194.00","26,639.00",0.37K,0.55%
05/13/23,"26,790.00","26,818.00","27,065.00","26,713.00",0.35K,-0.10%
05/12/23,"26,818.00","27,016.00","27,101.00","25,884.00",1.82K,-0.73%
05/11/23,"27,016.00","27,622.00","27,654.00","26,795.00",1.79K,-2.19%
05/10/23,"27,622.00","27,668.00","28,338.00","26,855.00",1.70K,-0.17%
05/09/23,"27,668.00","27,701.00","27,844.00","27,386.00",0.75K,-0.12%
05/08/23,"27,701.00","28,464.00","28,682.00","27,309.00",1.59K,-2.68%
05/07/23,"28,464.00","28,909.00","29,175.00","28,464.00",0.64K,-1.54%
05/06/23,"28,909.00","29,526.00","29,836.00","28,415.00",1.15K,-2.09%
05/05/23,"29,526.00","28,844.00","29,687.00","28,844.00",1.41K,2.36%
05/04/23,"28,844.00","29,037.00","29,370.00","28,706.00",0.81K,-0.66%
05/03/23,"29,037.00","28,679.00","29,277.00","28,161.00",1.03K,1.25%
05/02/23,"28,679.00","28,106.00","28,888.00","27,919.00",1.24K,2.04%
05/01/23,"28,106.00","29,255.00","29,347.00","27,700.00",1.80K,-3.93%
04/30/23,"29,255.00","29,253.00","29,962.00","29,113.00",1.37K,0.01%
04/29/23,"29,253.00","29,338.00","29,454.00","29,085.00",0.35K,-0.29%
04/28/23,"29,338.00","29,479.00","29,589.00","28,911.00",1.40K,-0.48%
04/27/23,"29,479.00","28,433.00","29,885.00","28,395.00",1.89K,3.68%
04/26/23,"28,433.00","28,324.00","30,028.00","27,263.00",3.46K,0.38%
04/25/23,"28,324.00","27,522.00","28,389.00","27,224.00",0.98K,2.91%
04/24/23,"27,522.00","27,613.00","28,000.00","26,998.00",1.38K,-0.33%
04/23/23,"27,613.00","27,826.00","27,827.00","27,364.00",0.69K,-0.77%
04/22/23,"27,826.00","27,287.00","27,884.00","27,163.00",0.71K,1.98%
04/21/23,"27,287.00","28,248.00","28,378.00","27,191.00",1.37K,-3.40%
04/20/23,"28,248.00","28,826.00","29,098.00","28,035.00",1.55K,-2.01%
04/19/23,"28,826.00","30,392.00","30,412.00","28,645.00",3.76K,-5.15%
04/18/23,"30,392.00","29,434.00","30,471.00","29,169.00",1.93K,3.25%
04/17/23,"29,434.00","30,285.00","30,289.00","29,277.00",2.04K,-2.81%
04/16/23,"30,285.00","30,280.00","30,559.00","30,123.00",1.84K,0.02%
04/15/23,"30,280.00","30,462.00","30,575.00","30,195.00",0.80K,-0.60%
04/14/23,"30,462.00","30,389.00","30,968.00","30,001.00",2.59K,0.24%
04/13/23,"30,389.00","29,876.00","30,563.00","29,867.00",1.43K,1.72%
04/12/23,"29,876.00","30,190.00","30,450.00","29,683.00",1.69K,-1.04%
04/11/23,"30,190.00","29,614.00","30,484.00","29,579.00",2.75K,1.95%
04/10/23,"29,614.00","28,320.00","29,724.00","28,159.00",2.24K,4.57%
04/09/23,"28,320.00","27,901.00","28,510.00","27,780.00",0.68K,1.50%
04/08/23,"27,901.00","27,889.00","28,135.00","27,839.00",0.40K,0.04%
04/07/23,"27,889.00","28,018.00","28,082.00","27,755.00",0.33K,-0.46%
04/06/23,"28,018.00","28,153.00","28,163.00","27,728.00",0.88K,-0.48%
04/05/23,"28,153.00","28,153.00","28,750.00","27,837.00",1.52K,0.00%
04/04/23,"28,153.00","27,790.00","28,445.00","27,671.00",1.08K,1.31%
04/03/23,"27,790.00","28,173.00","28,482.00","27,231.00",2.64K,-1.36%
04/02/23,"28,173.00","28,443.00","28,515.00","27,867.00",1.00K,-0.95%
04/01/23,"28,443.00","28,460.00","28,809.00","28,210.00",0.86K,-0.06%
03/31/23,"28,460.00","28,017.00","28,651.00","27,556.00",1.32K,1.58%
03/30/23,"28,017.00","28,344.00","29,170.00","27,692.00",2.68K,-1.15%
03/29/23,"28,344.00","27,265.00","28,645.00","27,253.00",2.12K,3.96%
03/28/23,"27,265.00","27,129.00","27,512.00","26,637.00",1.44K,0.50%
03/27/23,"27,129.00","27,986.00","28,027.00","26,542.00",1.94K,-3.06%
03/26/23,"27,986.00","27,482.00","28,171.00","27,438.00",1.17K,1.83%
03/25/23,"27,482.00","27,458.00","27,779.00","27,173.00",0.86K,0.09%
03/24/23,"27,458.00","28,304.00","28,372.00","27,017.00",1.92K,-2.99%
03/23/23,"28,304.00","27,263.00","28,741.00","27,121.00",3.12K,3.82%
03/22/23,"27,263.00","28,112.00","28,813.00","26,620.00",3.93K,-3.02%
03/21/23,"28,112.00","27,712.00","28,435.00","27,313.00",1.66K,1.44%
03/20/23,"27,712.00","27,936.00","28,438.00","27,130.00",2.70K,-0.80%
03/19/23,"27,936.00","26,913.00","28,329.00","26,838.00",4.34K,3.80%
03/18/23,"26,913.00","27,350.00","27,605.00","26,595.00",3.08K,-1.60%
03/17/23,"27,350.00","25,057.00","27,562.00","24,954.00",9.82K,9.15%
03/16/23,"25,057.00","24,321.00","25,213.00","24,202.00",2.42K,3.03%
03/15/23,"24,321.00","24,744.00","25,245.00","23,939.00",2.63K,-1.71%
03/14/23,"24,744.00","24,187.00","26,434.00","24,073.00",9.61K,2.30%
03/13/23,"24,187.00","22,079.00","24,560.00","21,891.00",7.01K,9.55%
03/12/23,"22,079.00","20,538.00","22,132.00","20,363.00",5.61K,7.50%
03/11/23,"20,538.00","20,201.00","20,783.00","19,874.00",6.80K,1.67%
03/10/23,"20,201.00","20,378.00","20,381.00","19,592.00",4.64K,-0.87%
03/09/23,"20,378.00","21,712.00","21,835.00","20,096.00",3.79K,-6.14%
03/08/23,"21,712.00","22,209.00","22,286.00","21,622.00",1.75K,-2.24%
03/07/23,"22,209.00","22,404.00","22,552.00","21,967.00",1.84K,-0.87%
03/06/23,"22,404.00","22,431.00","22,586.00","22,315.00",0.89K,-0.12%
03/05/23,"22,431.00","22,346.00","22,650.00","22,225.00",0.43K,0.38%
03/04/23,"22,346.00","22,363.00","22,405.00","22,176.00",0.41K,-0.08%
03/03/23,"22,363.00","23,472.00","23,482.00","22,003.00",2.99K,-4.72%
03/02/23,"23,472.00","23,646.00","23,792.00","23,208.00",0.70K,-0.74%
03/01/23,"23,646.00","23,134.00","23,979.00","23,037.00",1.37K,2.21%
02/28/23,"23,134.00","23,504.00","23,609.00","23,067.00",1.44K,-1.57%
02/27/23,"23,504.00","23,560.00","23,891.00","23,167.00",1.84K,-0.24%
02/26/23,"23,560.00","23,177.00","23,669.00","23,083.00",0.77K,1.65%
02/25/23,"23,177.00","23,201.00","23,222.00","22,810.00",1.12K,-0.10%
02/24/23,"23,201.00","23,947.00","24,150.00","22,911.00",3.45K,-3.12%
02/23/23,"23,947.00","24,186.00","24,598.00","23,625.00",2.24K,-0.99%
02/22/23,"24,186.00","24,460.00","24,485.00","23,586.00",3.34K,-1.12%
02/21/23,"24,460.00","24,831.00","25,162.00","24,177.00",3.55K,-1.49%
02/20/23,"24,831.00","24,294.00","25,114.00","23,867.00",2.02K,2.21%
02/19/23,"24,294.00","24,633.00","25,200.00","24,246.00",2.72K,-1.38%
02/18/23,"24,633.00","24,579.00","24,853.00","24,450.00",0.63K,0.22%
02/17/23,"24,579.00","23,535.00","25,018.00","23,362.00",4.17K,4.44%
02/16/23,"23,535.00","24,318.00","25,232.00","23,527.00",4.64K,-3.22%
02/15/23,"24,318.00","22,198.00","24,350.00","22,082.00",2.37K,9.55%
02/14/23,"22,198.00","21,773.00","22,311.00","21,578.00",1.44K,1.95%
02/13/23,"21,773.00","21,796.00","21,902.00","21,404.00",3.08K,-0.11%
02/12/23,"21,796.00","21,866.00","22,095.00","21,667.00",1.26K,-0.32%
02/11/23,"21,866.00","21,643.00","21,903.00","21,614.00",0.36K,1.03%
02/10/23,"21,643.00","21,800.00","21,937.00","21,500.00",1.47K,-0.72%
02/09/23,"21,800.00","22,959.00","23,002.00","21,710.00",3.31K,-5.05%
02/08/23,"22,959.00","23,251.00","23,430.00","22,691.00",1.35K,-1.26%
02/07/23,"23,251.00","22,755.00","23,350.00","22,744.00",1.20K,2.18%
02/06/23,"22,755.00","22,936.00","23,145.00","22,639.00",1.08K,-0.79%
02/05/23,"22,936.00","23,315.00","23,419.00","22,799.00",1.44K,-1.63%
02/04/23,"23,315.00","23,433.00","23,580.00","23,253.00",0.58K,-0.50%
02/03/23,"23,433.00","23,485.00","23,700.00","23,230.00",1.92K,-0.22%
02/02/23,"23,485.00","23,723.00","24,239.00","23,395.00",2.83K,-1.00%
02/01/23,"23,723.00","23,135.00","23,802.00","22,800.00",2.13K,2.54%
01/31/23,"23,135.00","22,837.00","23,286.00","22,730.00",1.99K,1.30%
01/30/23,"22,837.00","23,746.00","23,784.00","22,516.00",2.95K,-3.83%
01/29/23,"23,746.00","23,029.00","23,962.00","23,000.00",4.24K,3.11%
01/28/23,"23,029.00","23,067.00","23,181.00","22,885.00",1.41K,-0.16%
01/27/23,"23,067.00","23,004.00","23,475.00","22,539.00",2.25K,0.27%
01/26/23,"23,004.00","23,045.00","23,273.00","22,859.00",1.40K,-0.18%
01/25/23,"23,045.00","22,627.00","23,812.00","22,334.00",3.74K,1.85%
01/24/23,"22,627.00","22,910.00","23,154.00","22,479.00",1.88K,-1.24%
01/23/23,"22,910.00","22,713.00","23,169.00","22,520.00",1.86K,0.87%
01/22/23,"22,713.00","22,766.00","23,071.00","22,321.00",1.52K,-0.23%
01/21/23,"22,766.00","22,672.00","23,312.00","22,443.00",3.60K,0.41%
01/20/23,"22,672.00","21,080.00","22,742.00","20,879.00",2.88K,7.55%
01/19/23,"21,080.00","20,678.00","21,181.00","20,670.00",0.90K,1.94%
01/18/23,"20,678.00","21,136.00","21,632.00","20,435.00",3.19K,-2.17%
01/17/23,"21,136.00","21,196.00","21,518.00","20,905.00",2.06K,-0.28%
01/16/23,"21,196.00","20,882.00","21,433.00","20,651.00",3.25K,1.50%
01/15/23,"20,882.00","20,963.00","21,048.00","20,583.00",1.54K,-0.39%
01/14/23,"20,963.00","19,933.00","21,300.00","19,897.00",6.06K,5.17%
01/13/23,"19,933.00","18,857.00","19,989.00","18,725.00",3.03K,5.71%
01/12/23,"18,857.00","17,946.00","19,070.00","17,920.00",5.32K,5.08%
01/11/23,"17,946.00","17,445.00","17,998.00","17,319.00",2.23K,2.87%
01/10/23,"17,445.00","17,188.00","17,503.00","17,155.00",0.81K,1.50%
01/09/23,"17,188.00","17,139.00","17,399.00","17,123.00",1.58K,0.29%
01/08/23,"17,139.00","16,958.00","17,174.00","16,930.00",0.81K,1.07%
01/07/23,"16,958.00","16,967.00","16,990.00","16,925.00",0.28K,-0.05%
01/06/23,"16,967.00","16,842.00","17,045.00","16,705.00",1.82K,0.74%
01/05/23,"16,842.00","16,868.00","16,888.00","16,778.00",0.57K,-0.15%
01/04/23,"16,868.00","16,689.00","16,998.00","16,671.00",1.12K,1.07%
01/03/23,"16,689.00","16,690.00","16,807.00","16,625.00",1.58K,-0.01%
01/02/23,"16,690.00","16,643.00","16,802.00","16,584.00",0.60K,0.28%
01/01/23,"16,643.00","16,564.00","16,644.00","16,517.00",0.24K,0.48%
12/31/22,"16,564.00","16,618.00","16,660.00","16,515.00",0.60K,-0.32%
12/30/22,"16,618.00","16,658.00","16,659.00","16,380.00",1.30K,-0.24%
12/29/22,"16,658.00","16,558.00","16,675.00","16,505.00",0.42K,0.60%
12/28/22,"16,558.00","16,719.00","16,796.00","16,490.00",1.59K,-0.96%
12/27/22,"16,719.00","16,946.00","16,987.00","16,631.00",0.94K,-1.34%
12/26/22,"16,946.00","16,847.00","16,958.00","16,814.00",0.32K,0.59%
