Date,Actual_Prices,Predicted_Prices
2023-05-12,0.18243735113597379,0.28201988
2023-05-15,0.2054832906920854,0.30732214
2023-05-16,0.19705789343501234,0.41997084
2023-05-17,0.2200418815407043,0.42599815
2023-05-18,0.1851632149544386,0.3897798
2023-05-19,0.18819883602500168,0.23357618
2023-05-22,0.18559687510737619,0.3197394
2023-05-23,0.2087667175643271,0.2924989
2023-05-24,0.15307236363705734,0.38070256
2023-05-25,0.1626128870016842,0.369878
2023-05-26,0.17741928365198173,0.22066134
2023-05-30,0.23850341376576148,0.23226994
2023-05-31,0.20734183420467506,0.25446972
2023-06-01,0.1833666228922686,0.42671356
2023-06-02,0.20944818351894331,0.26206785
2023-06-05,0.11503417307938922,0.22360161
2023-06-06,0.20814720306013057,0.23416035
2023-06-07,0.15437334409587009,0.28100747
